is_cluster,pocket_name,pocket_alias,ward_id,ward_councillor,avg_hhsize,area_ha,density_dwellings,structure_count,age_of_is,upgrade_category,temp_sanitation,toilets_full_flush,toilets_chemical,toilets_portable,toilets_container,toilets_other,toilets_total,ratio_toilets_dwellings,pocket_code,centroidx,centroidy
Uitkyk,Uitkyk,Crossroads 13/14/16,1.1670050061665393,Johannes (Johan) Middleton,0.042717750281035506,-0.0680495534120605,-0.9296875375099156,-0.35726545289847533,5 - 10 years,Provincial or National government land.  Some constraints,1.180102182365016,-0.242405774373998,-0.09369789794509094,0.02582713314912786,-0.1602767401999007,-0.10128451368804998,-0.1117275053644023,1:1,HILUIT001,2.8878222290849864,-1.3103809950247074
UT Section 7410,UT Section 7410,Victoria Mxenge 7410,0.876573559580722,Luvuyo Hebe,-0.5179527221575703,-0.0402641585184816,0.15027436687237233,0.37533174319956025,> 20 years,Provincial or National government land.  Some constraints,-0.7162946993614596,0.9762625541287322,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,0.0728861722667343,1:6,KHAUTS001,0.49655698510964896,-0.3849796186212647
UT Section 7410,YB Section,Victoria Mxenge 7410,0.876573559580722,Monde Mabandla,0.13616282902080368,-0.12589783458393788,-0.17393590389221741,-0.33746552867960955,> 20 years,Provincial or National government land.  Some constraints,-0.7162946993614596,-0.17406923258879817,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,-0.2485962663667967,1:3,KHAYBS001,0.5057100001598294,-0.3757333688837157
Valhalla Park,Agste Laan - Valhalla Park,Valhalla Park,-1.0596360843247266,Nas Abrahams,3.313295506172905,0.01102494746540337,-0.3969298986263606,0.22974406511966447,5 - 10 years,City land. Can be upgraded,1.5671219541356771,-0.35630001068266437,2.850366370519667,1.5950837432901372,-0.1602767401999007,-0.10128451368804998,1.3397179601493614,1:1,TYGAGS001,-0.24440362047175695,0.3132483591052493
Valhalla Park,Sewende Laan - Valhalla Park,Crossroads 13/14/16,-1.0596360843247266,Nas Abrahams,3.313295506172905,-0.10661507419331209,-0.3365058702059133,-0.2582658318041462,10 - 15 years,Provincial or National government land.  Some constraints,1.2692849993287243,-0.15129038532706487,-0.23681213321768332,0.4059576163509872,-0.1602767401999007,-0.10128451368804998,0.1397290555469734,1:1,TYGSEV001,-0.2836833462329626,0.3188848406791945
VE Section,VE Section,Victoria Mxenge 6807,0.876573559580722,Monde Mabandla,0.13616282902080368,-0.05963801856449617,0.3553750564120642,0.32757898478935443,> 20 years,Provincial or National government land.  Some constraints,-0.7162946993614596,-0.35630001068266437,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,-0.299524177437455,1:1,KHAVES001,0.5270136191231748,-0.34790387130949935
Victoria Mxenge 7410,Bida Crescent,Victoria Mxenge 7410/ YBA Section 7410,0.8443033988489645,Luvuyo Hebe,-0.5179527221575703,-0.10731350488462608,-0.04178385499875889,-0.2035248648461054,> 20 years,Provincial or National government land.  Some constraints,-0.7162946993614596,0.19039232359893424,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,-0.14674044422547994,1:3,KHABID001,0.5128269171143809,-0.40906826706508626
Victoria Mxenge 7410,S Section 7410,Victoria Mxenge 7410,0.8443033988489645,Luvuyo Hebe,-0.5179527221575703,-0.06042754891119897,0.05179321107012172,0.16102668106595366,> 20 years,Provincial or National government land.  Some constraints,-0.7162946993614596,0.8168106232965993,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,0.02832425007990822,1:5,KHASSE001,0.5148064569295848,-0.4229930990035356
Victoria Mxenge 7410,YA Section,Victoria Mxenge 7410/ Donkey Square,0.8443033988489645,Luvuyo Hebe,-0.5179527221575703,-0.016760447428175517,-0.12642628697588612,0.3357318947618286,> 20 years,Provincial or National government land.  Some constraints,-0.7162946993614596,0.8395894705583326,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,0.034690238963740516,1:6,KHAYAS001,0.5122236287897712,-0.39773480500950686
Victoria Mxenge Infills,Ciko Avenue,Victoria Mxenge 6458,0.876573559580722,Monde Mabandla,0.6781442857114562,-0.1279931266578799,0.5897040804314511,-0.3095126944882695,15 - 20 years,Provincial or National government land.  Some constraints,-0.7162946993614596,-0.35630001068266437,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,-0.299524177437455,1:1,KHACIK001,0.5339608612364519,-0.3485794424462798
